id,created_at,z_rms_velocity_in_s,z_rms_velocity_mm_s,temperature_f,temperature_c,x_rms_velocity_in_s,x_rms_velocity_mm_s,z_peak_acceleration_g,x_peak_acceleration_g,z_peak_vel_comp_freq_hz,x_peak_vel_comp_freq_hz,z_rms_acceleration_g,x_rms_acceleration_g,z_kurtosis,x_kurtosis,z_crest_factor,x_crest_factor,z_peak_velocity_in_s,z_peak_velocity_mm_s,x_peak_velocity_in_s,x_peak_velocity_mm_s,z_high_freq_rms_accel_g,x_high_freq_rms_accel_g,fault,rpm
1435,2026-04-30 17:17:59.553873+00:00,0.0433,1.101,74.0,23.33,0.062,1.575,0.044,0.042,61.0,61.0,0.047,0.067,3.649,3.555,5.884,5.124,0.0613,1.558,0.0877,2.227,0.007,0.008,motor_desligado,0.0
1483,2026-04-30 17:20:02.207956+00:00,0.0431,1.095,74.0,23.33,0.0615,1.563,0.033,0.037,61.0,61.0,0.046,0.066,3.497,3.313,4.695,4.557,0.061,1.549,0.087,2.21,0.007,0.008,motor_desligado,0.0
1498,2026-04-30 17:20:32.210042+00:00,0.0431,1.096,74.0,23.33,0.0613,1.559,0.034,0.036,61.0,61.0,0.046,0.066,3.45,3.464,4.721,4.385,0.061,1.551,0.0868,2.205,0.007,0.008,motor_desligado,0.0
1499,2026-04-30 17:20:34.209741+00:00,0.0426,1.084,74.0,23.33,0.0613,1.559,0.032,0.032,61.0,61.0,0.046,0.066,3.269,3.412,4.476,3.95,0.0603,1.533,0.0868,2.205,0.007,0.008,motor_desligado,0.0
1540,2026-04-30 17:21:56.214524+00:00,0.0428,1.088,74.05,23.36,0.0616,1.565,0.032,0.041,61.0,61.0,0.046,0.066,3.265,3.468,4.401,5.017,0.0605,1.539,0.0871,2.214,0.007,0.008,motor_desligado,0.0
1579,2026-04-30 17:23:14.219224+00:00,0.0426,1.084,74.05,23.36,0.0617,1.568,0.028,0.039,61.0,61.0,0.046,0.066,3.222,3.34,4.053,4.861,0.0603,1.533,0.0873,2.217,0.007,0.008,motor_desligado,0.0
1583,2026-04-30 17:23:22.219771+00:00,0.0435,1.107,74.0,23.33,0.0615,1.564,0.031,0.039,61.0,61.0,0.046,0.066,3.235,3.33,4.357,4.778,0.0616,1.565,0.0871,2.212,0.007,0.008,motor_desligado,0.0
1663,2026-04-30 17:26:02.228929+00:00,0.0432,1.098,74.0,23.33,0.0621,1.578,0.031,0.034,61.0,61.0,0.046,0.067,3.351,3.193,4.382,4.192,0.0611,1.553,0.0878,2.231,0.007,0.008,motor_desligado,0.0
1704,2026-04-30 17:27:24.233952+00:00,0.0432,1.099,73.96,23.31,0.0616,1.565,0.029,0.045,61.0,61.0,0.046,0.066,3.226,3.633,4.169,5.432,0.0611,1.554,0.0871,2.213,0.007,0.008,motor_desligado,0.0
1787,2026-04-30 17:36:49.831530+00:00,0.047,1.195,73.35,22.97,0.0702,1.784,0.125,0.171,61.0,61.0,0.057,0.079,5.411,5.425,5.682,5.386,0.0665,1.69,0.0993,2.523,0.022,0.031,normal,500.0
1852,2026-04-30 17:38:59.839548+00:00,0.0487,1.238,72.98,22.76,0.0763,1.938,0.333,0.466,61.0,61.0,0.063,0.09,2.158,2.283,2.812,3.671,0.0689,1.751,0.1079,2.741,0.118,0.127,normal,500.0
1853,2026-04-30 17:39:01.842897+00:00,0.0525,1.334,72.93,22.74,0.0689,1.752,0.117,0.152,61.0,61.0,0.059,0.084,5.145,4.74,5.482,4.752,0.0742,1.887,0.0975,2.478,0.021,0.032,normal,500.0
1874,2026-04-30 17:39:43.842190+00:00,0.0582,1.479,72.93,22.74,0.0722,1.835,0.347,0.355,61.0,61.0,0.066,0.091,2.264,2.238,2.892,2.811,0.0824,2.093,0.1021,2.595,0.12,0.126,normal,500.0
1905,2026-04-30 17:40:45.848929+00:00,0.0491,1.247,72.65,22.58,0.0731,1.859,0.35,0.398,61.0,61.0,0.063,0.088,3.051,2.954,3.464,3.684,0.0694,1.763,0.1035,2.629,0.101,0.108,normal,500.0
1929,2026-04-30 17:41:33.850112+00:00,0.0512,1.3,73.07,22.81,0.0661,1.679,0.328,0.393,61.0,61.0,0.066,0.083,2.307,2.379,2.808,3.171,0.0724,1.839,0.0935,2.375,0.116,0.124,normal,500.0
1930,2026-04-30 17:41:35.849299+00:00,0.0502,1.275,73.07,22.81,0.0605,1.537,0.362,0.383,61.0,58.5,0.058,0.078,3.625,3.585,3.925,3.818,0.071,1.803,0.0856,2.174,0.092,0.1,normal,500.0
1940,2026-04-30 17:41:55.850579+00:00,0.0504,1.282,73.21,22.89,0.0697,1.771,0.275,0.351,61.0,61.0,0.057,0.083,10.019,8.071,5.544,6.136,0.0714,1.813,0.0986,2.505,0.049,0.057,normal,500.0
1941,2026-04-30 17:41:57.852501+00:00,0.0559,1.421,73.21,22.89,0.0674,1.714,0.328,0.383,61.0,61.0,0.063,0.085,2.331,2.315,2.83,3.07,0.0791,2.01,0.0954,2.424,0.116,0.124,normal,500.0
1950,2026-04-30 17:42:15.851729+00:00,0.0456,1.159,73.3,22.94,0.0602,1.529,0.294,0.339,58.5,61.0,0.056,0.079,4.801,4.602,3.836,4.037,0.0645,1.64,0.0851,2.163,0.076,0.084,normal,500.0
1954,2026-04-30 17:42:23.852271+00:00,0.0473,1.203,73.35,22.97,0.0591,1.503,0.315,0.335,61.0,58.5,0.064,0.082,3.173,3.179,3.234,3.159,0.0669,1.701,0.0837,2.126,0.097,0.106,normal,500.0
1972,2026-04-30 17:42:59.854567+00:00,0.052,1.321,73.4,23.0,0.0666,1.693,0.286,0.3,61.0,61.0,0.06,0.084,10.061,7.66,5.727,5.206,0.0735,1.869,0.0942,2.394,0.049,0.057,normal,500.0
2032,2026-04-30 17:44:59.861711+00:00,0.051,1.297,74.24,23.46,0.0708,1.8,0.258,0.304,61.0,61.0,0.057,0.084,14.208,10.398,6.424,6.252,0.0722,1.835,0.1002,2.545,0.04,0.048,normal,500.0
2183,2026-04-30 17:50:01.878738+00:00,0.047,1.196,76.2,24.56,0.0683,1.735,0.427,0.393,61.0,58.5,0.064,0.084,2.128,2.138,3.651,3.117,0.0666,1.691,0.0966,2.453,0.116,0.126,normal,500.0
2274,2026-04-30 17:53:03.889764+00:00,0.0528,1.343,77.48,25.26,0.074,1.881,0.294,0.336,61.0,61.0,0.062,0.088,3.617,3.541,3.45,3.631,0.0747,1.899,0.1047,2.66,0.085,0.092,normal,500.0
2349,2026-04-30 17:55:33.901217+00:00,0.0431,1.095,78.33,25.73,0.0664,1.688,0.119,0.218,61.0,61.0,0.056,0.083,4.979,5.556,5.194,6.111,0.061,1.549,0.094,2.387,0.022,0.035,normal,500.0
2357,2026-04-30 17:55:49.899495+00:00,0.0474,1.205,78.47,25.81,0.0693,1.761,0.325,0.431,61.0,61.0,0.065,0.089,2.295,2.396,2.977,3.62,0.0671,1.704,0.098,2.49,0.109,0.119,normal,500.0
2371,2026-04-30 17:56:17.901355+00:00,0.0515,1.309,78.61,25.89,0.0705,1.791,0.289,0.363,61.0,61.0,0.059,0.084,8.686,7.482,5.67,5.91,0.0729,1.851,0.0997,2.533,0.051,0.061,normal,500.0
2384,2026-04-30 17:56:43.904437+00:00,0.05,1.272,78.85,26.02,0.0697,1.772,0.35,0.45,61.0,61.0,0.067,0.089,2.056,2.171,3.009,3.651,0.0708,1.799,0.0987,2.507,0.116,0.123,normal,500.0
2397,2026-04-30 17:57:09.904188+00:00,0.0513,1.303,78.94,26.08,0.0672,1.708,0.278,0.314,61.0,61.0,0.057,0.081,11.565,7.74,6.403,5.947,0.0725,1.843,0.0951,2.415,0.043,0.052,normal,500.0
2427,2026-04-30 17:58:09.907948+00:00,0.0526,1.337,79.27,26.26,0.0722,1.834,0.37,0.396,61.0,61.0,0.066,0.09,2.117,2.174,3.259,3.248,0.0744,1.891,0.1021,2.594,0.113,0.122,normal,500.0
2428,2026-04-30 17:58:11.908114+00:00,0.0548,1.393,79.04,26.13,0.0734,1.865,0.373,0.395,61.0,61.0,0.067,0.094,2.139,2.204,3.225,3.201,0.0775,1.97,0.1038,2.638,0.115,0.123,normal,500.0
2454,2026-04-30 17:59:03.910929+00:00,0.0465,1.181,79.51,26.39,0.0681,1.73,0.323,0.358,61.0,61.0,0.069,0.092,2.233,2.281,2.883,2.969,0.0657,1.67,0.0963,2.447,0.112,0.12,normal,500.0
2469,2026-04-30 17:59:33.913031+00:00,0.0488,1.241,79.37,26.31,0.0723,1.837,0.125,0.213,61.0,61.0,0.063,0.089,5.115,5.166,5.612,5.971,0.0691,1.756,0.1022,2.598,0.022,0.035,normal,500.0
2524,2026-04-30 18:01:23.919722+00:00,0.052,1.321,80.18,26.76,0.0725,1.842,0.326,0.363,61.0,61.0,0.066,0.093,4.121,4.118,4.046,4.111,0.0735,1.869,0.1026,2.606,0.08,0.088,normal,500.0
2528,2026-04-30 18:01:31.920142+00:00,0.0563,1.431,80.23,26.79,0.0727,1.848,0.106,0.219,61.0,61.0,0.065,0.092,4.301,4.758,4.431,6.224,0.0797,2.025,0.1029,2.614,0.023,0.035,normal,500.0
2536,2026-04-30 18:01:47.921337+00:00,0.0534,1.356,80.32,26.84,0.066,1.677,0.392,0.446,61.0,61.0,0.063,0.087,2.14,2.259,3.463,3.606,0.0755,1.918,0.0933,2.371,0.113,0.123,normal,500.0
2585,2026-04-30 18:03:25.929199+00:00,0.0517,1.315,80.7,27.05,0.067,1.702,0.112,0.195,61.0,61.0,0.06,0.085,4.516,5.026,4.912,5.382,0.0732,1.86,0.0948,2.408,0.022,0.036,normal,500.0
2680,2026-04-30 18:06:35.939223+00:00,0.0529,1.343,81.13,27.29,0.0676,1.718,0.311,0.416,61.0,61.0,0.069,0.09,2.488,2.579,2.964,3.614,0.0748,1.9,0.0956,2.43,0.105,0.115,normal,500.0
2705,2026-04-30 18:07:25.942320+00:00,0.0513,1.304,81.66,27.59,0.0715,1.818,0.113,0.199,61.0,61.0,0.059,0.085,4.565,5.299,4.849,5.646,0.0726,1.844,0.1012,2.571,0.023,0.035,normal,500.0
2819,2026-04-30 18:23:57.065446+00:00,0.057,1.45,83.78,28.76,0.0727,1.848,0.15,0.29,61.0,61.0,0.074,0.091,3.473,3.605,4.325,4.85,0.0807,2.051,0.1029,2.614,0.034,0.059,normal,1000.0
2867,2026-04-30 18:25:33.070946+00:00,0.0499,1.269,82.09,27.83,0.0767,1.95,0.135,0.313,61.0,61.0,0.074,0.092,3.213,3.928,3.877,5.223,0.0706,1.795,0.1085,2.757,0.034,0.06,normal,1000.0
2901,2026-04-30 18:26:41.076054+00:00,0.0557,1.416,81.61,27.56,0.0725,1.842,0.156,0.256,61.0,61.0,0.074,0.092,3.212,3.445,4.257,4.413,0.0788,2.003,0.1026,2.606,0.036,0.058,normal,1000.0
2902,2026-04-30 18:26:43.077852+00:00,0.0547,1.39,81.66,27.59,0.0765,1.944,0.324,0.45,61.0,61.0,0.08,0.1,2.767,3.066,3.234,3.845,0.0773,1.965,0.1082,2.749,0.1,0.117,normal,1000.0
2936,2026-04-30 18:27:51.083596+00:00,0.0554,1.408,81.23,27.35,0.075,1.906,0.368,0.409,61.0,61.0,0.078,0.101,2.951,3.032,3.654,3.498,0.0784,1.992,0.1061,2.696,0.1,0.117,normal,1000.0
2956,2026-04-30 18:28:31.084088+00:00,0.0576,1.464,82.28,27.93,0.0695,1.766,0.41,0.423,61.0,58.5,0.085,0.093,2.431,2.448,3.594,3.31,0.0815,2.071,0.0983,2.498,0.114,0.127,normal,1000.0
2970,2026-04-30 18:28:59.083360+00:00,0.0588,1.493,80.89,27.16,0.0749,1.903,0.387,0.47,61.0,58.5,0.088,0.098,2.374,2.57,3.376,3.559,0.0831,2.112,0.106,2.692,0.114,0.132,normal,1000.0
2972,2026-04-30 18:29:03.086978+00:00,0.054,1.372,80.94,27.19,0.0715,1.816,0.362,0.423,61.0,61.0,0.083,0.094,2.248,2.45,3.112,3.181,0.0764,1.941,0.1011,2.568,0.116,0.133,normal,1000.0
2992,2026-04-30 18:29:43.090348+00:00,0.0526,1.338,80.7,27.05,0.0731,1.857,0.381,0.419,61.0,61.0,0.08,0.098,2.264,2.469,3.278,3.168,0.0745,1.892,0.1034,2.627,0.116,0.132,normal,1000.0
3156,2026-04-30 18:35:11.105897+00:00,0.0522,1.325,80.37,26.87,0.074,1.882,0.339,0.453,61.0,61.0,0.078,0.096,2.259,2.425,2.903,3.425,0.0738,1.875,0.1047,2.661,0.117,0.132,normal,1000.0
3274,2026-04-30 18:39:07.120553+00:00,0.0508,1.292,81.37,27.43,0.0723,1.836,0.346,0.415,61.0,61.0,0.079,0.096,2.197,2.414,2.984,3.178,0.0719,1.827,0.1022,2.597,0.116,0.13,normal,1000.0
3277,2026-04-30 18:39:13.121485+00:00,0.0512,1.301,80.75,27.08,0.0702,1.783,0.328,0.4,58.5,61.0,0.074,0.092,3.309,3.089,3.467,3.566,0.0724,1.84,0.0992,2.522,0.094,0.112,normal,1000.0
3306,2026-04-30 18:40:11.125424+00:00,0.0496,1.259,80.56,26.98,0.0667,1.695,0.354,0.385,61.0,61.0,0.071,0.088,7.243,4.438,6.285,5.102,0.0701,1.781,0.0943,2.397,0.056,0.075,normal,1000.0
3316,2026-04-30 18:40:31.128677+00:00,0.0522,1.328,80.8,27.11,0.0685,1.742,0.309,0.424,61.0,61.0,0.075,0.088,7.036,4.565,5.419,5.568,0.0739,1.878,0.097,2.464,0.057,0.076,normal,1000.0
3323,2026-04-30 18:40:45.127568+00:00,0.0531,1.349,80.8,27.11,0.0745,1.893,0.305,0.37,61.0,61.0,0.076,0.092,4.446,3.995,3.976,3.839,0.0751,1.908,0.1054,2.678,0.076,0.096,normal,1000.0
3339,2026-04-30 18:41:17.130080+00:00,0.0558,1.417,80.89,27.16,0.0669,1.699,0.432,0.408,61.0,61.0,0.08,0.093,2.271,2.349,3.706,3.095,0.0789,2.005,0.0946,2.403,0.116,0.131,normal,1000.0
3473,2026-04-30 18:45:45.146872+00:00,0.05,1.271,81.04,27.24,0.0688,1.748,0.149,0.322,61.0,61.0,0.075,0.093,3.463,3.912,4.14,5.046,0.0707,1.798,0.0973,2.472,0.036,0.063,normal,1000.0
3494,2026-04-30 18:46:27.152525+00:00,0.0538,1.366,81.08,27.27,0.0737,1.874,0.33,0.45,61.0,61.0,0.078,0.094,2.255,2.443,2.784,3.332,0.076,1.932,0.1043,2.65,0.118,0.135,normal,1000.0
3514,2026-04-30 18:47:07.153456+00:00,0.0573,1.456,81.23,27.35,0.0746,1.897,0.38,0.432,61.0,61.0,0.072,0.09,3.425,3.159,4.147,4.006,0.0811,2.06,0.1056,2.683,0.091,0.108,normal,1000.0
3516,2026-04-30 18:47:11.153785+00:00,0.052,1.323,81.04,27.24,0.0713,1.812,0.145,0.263,61.0,61.0,0.078,0.1,3.121,3.434,4.09,4.408,0.0736,1.871,0.1008,2.562,0.035,0.059,normal,1000.0
3518,2026-04-30 18:47:15.154310+00:00,0.0571,1.45,80.8,27.11,0.0757,1.923,0.339,0.519,61.0,61.0,0.076,0.094,2.298,2.616,2.922,3.872,0.0807,2.051,0.107,2.719,0.116,0.134,normal,1000.0
3525,2026-04-30 18:47:29.155102+00:00,0.0545,1.386,81.04,27.24,0.0718,1.825,0.339,0.49,61.0,61.0,0.08,0.098,2.274,2.505,2.899,3.721,0.0772,1.961,0.1016,2.581,0.117,0.131,normal,1000.0
3586,2026-04-30 18:49:31.163194+00:00,0.0507,1.288,80.99,27.21,0.0715,1.818,0.285,0.296,61.0,61.0,0.075,0.091,7.172,3.965,6.114,4.395,0.0717,1.821,0.1012,2.571,0.046,0.067,normal,1000.0
3632,2026-04-30 18:51:03.169682+00:00,0.0508,1.292,81.18,27.32,0.0767,1.95,0.144,0.337,61.0,61.0,0.068,0.092,3.386,4.108,4.036,5.486,0.0719,1.827,0.1086,2.758,0.035,0.061,normal,1000.0
3644,2026-04-30 18:51:27.173137+00:00,0.0483,1.228,81.18,27.32,0.0716,1.82,0.153,0.23,61.0,61.0,0.07,0.089,3.028,3.372,3.991,3.79,0.0684,1.737,0.1013,2.573,0.038,0.06,normal,1000.0
3710,2026-04-30 18:53:39.179670+00:00,0.0583,1.481,80.8,27.11,0.0763,1.94,0.358,0.393,61.0,61.0,0.082,0.1,2.281,2.461,3.088,3.036,0.0824,2.095,0.108,2.744,0.116,0.129,normal,1000.0
3735,2026-04-30 18:54:29.182694+00:00,0.0504,1.281,82.47,28.04,0.0704,1.789,0.334,0.45,61.0,61.0,0.075,0.096,5.545,4.234,4.809,5.168,0.0713,1.811,0.0996,2.53,0.069,0.087,normal,1000.0
3777,2026-04-30 18:58:54.484029+00:00,0.062,1.576,80.46,26.92,0.0808,2.053,0.44,0.686,61.0,61.0,0.107,0.122,3.338,3.71,4.175,4.06,0.0877,2.229,0.1143,2.904,0.105,0.169,normal,2000.0
3804,2026-04-30 18:59:48.484779+00:00,0.0597,1.518,79.99,26.66,0.0866,2.199,0.361,0.736,61.0,61.0,0.114,0.134,3.239,4.029,3.658,4.672,0.0845,2.147,0.1224,3.11,0.098,0.157,normal,2000.0
3871,2026-04-30 19:02:02.492833+00:00,0.0618,1.572,79.08,26.16,0.0853,2.168,0.577,0.757,61.0,61.0,0.116,0.126,3.155,3.383,4.146,3.992,0.0875,2.223,0.1207,3.066,0.139,0.189,normal,2000.0
3897,2026-04-30 19:02:54.495920+00:00,0.0591,1.501,78.94,26.08,0.0903,2.294,0.526,0.834,61.0,61.0,0.103,0.13,2.95,3.599,3.741,4.364,0.0835,2.123,0.1277,3.245,0.14,0.191,normal,2000.0
3900,2026-04-30 19:03:00.496357+00:00,0.0594,1.511,78.94,26.08,0.0914,2.323,0.374,0.727,61.0,61.0,0.112,0.14,3.298,3.907,3.772,4.441,0.0841,2.136,0.1293,3.285,0.099,0.163,normal,2000.0
3908,2026-04-30 19:03:16.497461+00:00,0.061,1.551,78.8,26.0,0.0866,2.201,0.447,0.737,61.0,61.0,0.106,0.121,2.98,3.437,3.442,4.011,0.0864,2.194,0.1225,3.113,0.13,0.183,normal,2000.0
3941,2026-04-30 19:04:22.501653+00:00,0.0693,1.762,78.8,26.0,0.0939,2.385,0.471,0.78,61.0,61.0,0.125,0.148,2.735,3.291,3.096,3.92,0.0981,2.492,0.1328,3.374,0.152,0.199,normal,2000.0
3960,2026-04-30 19:05:00.506940+00:00,0.0606,1.541,78.52,25.84,0.0841,2.136,0.464,0.775,61.0,61.0,0.109,0.121,3.16,3.338,3.364,4.043,0.0858,2.179,0.1189,3.021,0.138,0.191,normal,2000.0
3968,2026-04-30 19:05:16.508636+00:00,0.0581,1.477,78.47,25.81,0.0871,2.214,0.357,0.672,61.0,61.0,0.101,0.119,3.328,3.653,3.611,4.31,0.0822,2.089,0.1233,3.131,0.098,0.156,normal,2000.0
3991,2026-04-30 19:06:02.508837+00:00,0.0584,1.485,78.71,25.95,0.0869,2.208,0.398,0.765,61.0,61.0,0.103,0.112,3.208,4.106,3.846,4.662,0.0827,2.1,0.1229,3.123,0.103,0.164,normal,2000.0
3998,2026-04-30 19:06:16.508834+00:00,0.0543,1.38,78.75,25.97,0.0914,2.323,0.424,0.679,61.0,58.5,0.098,0.118,3.377,3.855,4.059,4.073,0.0768,1.952,0.1293,3.286,0.104,0.166,normal,2000.0
4006,2026-04-30 19:06:32.511438+00:00,0.0618,1.57,78.71,25.95,0.0916,2.327,0.54,0.849,61.0,61.0,0.122,0.136,3.145,3.524,4.049,4.502,0.0874,2.22,0.1295,3.291,0.133,0.188,normal,2000.0
4050,2026-04-30 19:08:00.515322+00:00,0.0589,1.496,78.71,25.95,0.0913,2.321,0.55,0.906,58.5,61.0,0.114,0.125,2.795,3.519,3.612,4.51,0.0833,2.116,0.1292,3.282,0.152,0.201,normal,2000.0
4137,2026-04-30 19:10:54.528932+00:00,0.0577,1.467,78.61,25.89,0.0836,2.124,0.475,0.739,58.5,61.0,0.102,0.121,3.306,3.595,3.841,4.115,0.0817,2.075,0.1182,3.004,0.123,0.179,normal,2000.0
4153,2026-04-30 19:11:26.531760+00:00,0.0578,1.469,78.66,25.92,0.0899,2.284,0.531,0.825,61.0,58.5,0.107,0.132,3.331,3.568,4.443,4.554,0.0818,2.078,0.1271,3.23,0.119,0.181,normal,2000.0
4179,2026-04-30 19:12:18.533858+00:00,0.0623,1.584,78.66,25.92,0.0932,2.367,0.429,0.801,61.0,58.5,0.111,0.129,3.334,3.635,4.161,4.659,0.0882,2.24,0.1318,3.348,0.103,0.172,normal,2000.0
4183,2026-04-30 19:12:26.535694+00:00,0.0579,1.47,78.66,25.92,0.0742,1.886,0.469,0.909,61.0,61.0,0.094,0.108,2.751,3.459,3.104,4.391,0.0818,2.079,0.105,2.667,0.151,0.207,normal,2000.0
4205,2026-04-30 19:13:10.539284+00:00,0.063,1.601,78.66,25.92,0.0964,2.449,0.53,1.029,61.0,61.0,0.115,0.138,2.896,3.642,3.57,5.09,0.0891,2.265,0.1363,3.464,0.148,0.202,normal,2000.0
4249,2026-04-30 19:14:38.542867+00:00,0.057,1.448,78.52,25.84,0.0827,2.102,0.531,0.867,61.0,61.0,0.101,0.116,3.067,3.89,4.022,4.652,0.0806,2.047,0.117,2.973,0.132,0.186,normal,2000.0
4276,2026-04-30 19:15:32.550361+00:00,0.0612,1.555,78.56,25.87,0.0893,2.268,0.589,0.821,61.0,61.0,0.115,0.129,3.232,3.664,4.111,4.17,0.0865,2.199,0.1263,3.208,0.143,0.197,normal,2000.0
4282,2026-04-30 19:15:44.547232+00:00,0.0602,1.53,78.56,25.87,0.0852,2.166,0.565,0.836,61.0,61.0,0.111,0.131,2.798,3.213,3.671,4.097,0.0851,2.163,0.1206,3.063,0.154,0.204,normal,2000.0
4379,2026-04-30 19:20:36.412388+00:00,0.0667,1.694,79.51,26.39,0.1332,3.385,0.481,0.764,61.0,34.1,0.11,0.146,3.292,3.815,3.942,4.269,0.0943,2.396,0.1884,4.787,0.122,0.179,desbalanceado_1parafuso,2000.0
4382,2026-04-30 19:20:42.411486+00:00,0.0682,1.733,79.37,26.31,0.1283,3.26,0.579,0.923,61.0,34.1,0.111,0.137,2.871,3.332,3.685,4.527,0.0965,2.451,0.1815,4.611,0.157,0.204,desbalanceado_1parafuso,2000.0
4412,2026-04-30 19:21:42.419529+00:00,0.071,1.803,79.13,26.18,0.1404,3.566,0.43,0.76,61.0,34.1,0.12,0.163,3.184,3.715,4.13,4.568,0.1004,2.55,0.1985,5.044,0.104,0.166,desbalanceado_1parafuso,2000.0
4447,2026-04-30 19:22:52.425113+00:00,0.0736,1.869,78.8,26.0,0.1366,3.471,0.581,1.163,34.1,34.1,0.113,0.15,2.969,3.533,3.716,5.731,0.104,2.644,0.1932,4.909,0.156,0.202,desbalanceado_1parafuso,2000.0
4474,2026-04-30 19:23:46.424397+00:00,0.076,1.932,78.52,25.84,0.1376,3.495,0.559,0.739,61.0,34.1,0.125,0.164,2.947,3.423,3.81,3.753,0.1075,2.732,0.1946,4.943,0.146,0.197,desbalanceado_1parafuso,2000.0
4516,2026-04-30 19:25:10.429763+00:00,0.0721,1.832,78.52,25.84,0.1285,3.264,0.539,0.841,61.0,34.1,0.107,0.134,2.643,3.201,3.508,4.18,0.102,2.591,0.1817,4.616,0.153,0.201,desbalanceado_1parafuso,2000.0
4555,2026-04-30 19:26:28.434632+00:00,0.0678,1.722,78.61,25.89,0.1359,3.452,0.454,0.812,61.0,34.1,0.111,0.14,3.275,3.732,3.684,4.399,0.0959,2.436,0.1922,4.882,0.123,0.184,desbalanceado_1parafuso,2000.0
4597,2026-04-30 19:27:52.445010+00:00,0.0713,1.812,78.42,25.79,0.1334,3.389,0.502,0.754,61.0,34.1,0.114,0.147,3.605,3.566,4.294,4.234,0.1009,2.563,0.1887,4.793,0.117,0.178,desbalanceado_1parafuso,2000.0
4607,2026-04-30 19:28:12.441515+00:00,0.0743,1.887,78.37,25.76,0.1461,3.713,0.597,0.813,61.0,34.1,0.134,0.182,3.448,3.889,4.562,4.474,0.105,2.669,0.2067,5.251,0.131,0.181,desbalanceado_1parafuso,2000.0
4638,2026-04-30 19:29:14.447206+00:00,0.0711,1.806,78.42,25.79,0.1423,3.616,0.436,0.699,61.0,34.1,0.116,0.153,3.577,3.892,4.056,4.181,0.1005,2.554,0.2013,5.114,0.107,0.167,desbalanceado_1parafuso,2000.0
4679,2026-04-30 19:30:36.452401+00:00,0.0686,1.743,78.47,25.81,0.1343,3.413,0.542,0.863,61.0,34.1,0.111,0.146,2.857,3.397,3.472,4.223,0.097,2.465,0.19,4.827,0.156,0.204,desbalanceado_1parafuso,2000.0
4699,2026-04-30 19:31:16.453648+00:00,0.0719,1.826,78.42,25.79,0.1294,3.289,0.478,0.902,61.0,34.1,0.122,0.157,2.731,3.356,3.073,4.441,0.1017,2.583,0.1831,4.651,0.155,0.203,desbalanceado_1parafuso,2000.0
4775,2026-04-30 19:33:48.463880+00:00,0.0702,1.783,78.42,25.79,0.1452,3.688,0.503,0.735,61.0,34.1,0.118,0.164,2.936,3.505,3.505,3.863,0.0993,2.522,0.2053,5.216,0.143,0.19,desbalanceado_1parafuso,2000.0
4786,2026-04-30 19:34:10.465859+00:00,0.0635,1.614,78.37,25.76,0.1345,3.417,0.431,0.808,61.0,34.1,0.103,0.137,3.167,3.957,3.782,4.722,0.0898,2.282,0.1902,4.832,0.114,0.171,desbalanceado_1parafuso,2000.0
4908,2026-04-30 19:39:45.930580+00:00,0.0874,2.222,79.75,26.53,0.0795,2.021,0.322,0.506,19.5,61.0,0.095,0.122,4.286,4.042,4.011,4.989,0.1237,3.143,0.1125,2.858,0.08,0.101,desbalanceado_1parafuso,1000.0
5006,2026-04-30 19:43:01.942866+00:00,0.0826,2.099,79.84,26.58,0.0817,2.075,0.352,0.509,19.5,61.0,0.089,0.113,2.809,2.969,3.459,4.171,0.1168,2.968,0.1155,2.935,0.102,0.122,desbalanceado_1parafuso,1000.0
5033,2026-04-30 19:43:55.948207+00:00,0.0887,2.254,80.18,26.76,0.0831,2.112,0.434,0.444,19.5,61.0,0.104,0.126,2.376,2.444,3.614,3.243,0.1255,3.187,0.1176,2.987,0.12,0.137,desbalanceado_1parafuso,1000.0
5116,2026-04-30 19:46:41.956670+00:00,0.0816,2.074,80.23,26.79,0.0805,2.046,0.372,0.47,19.5,61.0,0.083,0.107,4.47,4.106,4.736,4.773,0.1154,2.933,0.1139,2.893,0.078,0.098,desbalanceado_1parafuso,1000.0
5130,2026-04-30 19:47:09.958327+00:00,0.0872,2.215,80.13,26.74,0.0808,2.052,0.374,0.456,17.0,61.0,0.1,0.126,2.321,2.558,3.062,3.273,0.1233,3.132,0.1142,2.902,0.122,0.139,desbalanceado_1parafuso,1000.0
5155,2026-04-30 19:47:59.961425+00:00,0.084,2.134,80.23,26.79,0.084,2.135,0.344,0.572,19.5,61.0,0.097,0.124,5.199,4.541,4.752,5.957,0.1188,3.018,0.1189,3.02,0.072,0.096,desbalanceado_1parafuso,1000.0
5197,2026-04-30 19:49:23.966012+00:00,0.0852,2.164,80.23,26.79,0.0809,2.055,0.409,0.55,17.0,61.0,0.103,0.13,2.338,2.715,3.432,3.929,0.1204,3.06,0.1144,2.907,0.119,0.14,desbalanceado_1parafuso,1000.0
5199,2026-04-30 19:49:27.966280+00:00,0.0851,2.162,80.18,26.76,0.0783,1.988,0.407,0.548,19.5,61.0,0.097,0.125,2.312,2.679,3.445,4.039,0.1204,3.058,0.1107,2.812,0.118,0.135,desbalanceado_1parafuso,1000.0
5202,2026-04-30 19:49:33.966584+00:00,0.0864,2.196,80.18,26.76,0.0836,2.125,0.238,0.343,19.5,61.0,0.097,0.127,3.264,3.881,5.404,4.736,0.1222,3.106,0.1183,3.005,0.044,0.072,desbalanceado_1parafuso,1000.0
